Time (s);Ax (m/s²);Ay (m/s²);Az (m/s²)
0.0099302326;-0.6384949679;8.6947654025;4.6513646689
0.0198604651;-0.6289034210;8.7479648627;4.6561708508
0.0297906977;-0.5809456861;8.6754201442;4.4543112074
0.0397209302;-0.5329879513;8.6367296277;4.3005133839
0.0496511628;-0.5090090838;8.7189469753;4.1322970144
0.0595813953;-0.4562555755;8.7576374918;4.0602042846
0.0695116279;-0.3987062937;8.7382922335;3.9784991909
0.0794418605;-0.3219739179;8.7769827500;3.9977239188
0.0893720930;-0.2308542217;8.7866553792;4.0073362828
0.0993023256;-0.1493260725;8.7818190646;3.9736930089
0.1092325581;-0.1205514315;8.7914916937;4.0265610107
0.1191627907;-0.0965725641;8.8301822102;4.0505919207
0.1290930233;-0.0630021497;8.8930542995;4.0842351946
0.1390232558;0.0137302260;8.8688727267;4.0505919207
0.1489534884;0.1096456957;8.6318933131;4.0746228306
0.1588837209;0.2007653920;8.4819675617;4.2957072019
0.1688139535;0.3494343700;8.3949138996;4.6129152130
0.1787441860;0.5028991215;8.2885149792;4.9541541339
0.1886744186;0.6611596465;8.3126965520;5.2761683270
0.1986046512;0.7810539837;8.3900775850;5.5501207001
0.2085348837;0.7906455306;8.4239317869;5.7423679796
0.2184651163;0.7043216079;8.4674586180;5.8913596211
0.2283953488;0.5796314973;8.5158217636;5.9778708969
0.2383255814;0.4165751988;8.5013128200;6.0355450807
0.2482558140;0.2679062208;8.4045865287;5.9970956248
0.2581860465;0.1144414692;8.2304792044;5.8961658031
0.2681162791;-0.0294317353;8.0418629365;5.6510505218
0.2780465116;-0.1637133929;8.0757171384;5.4011290586
0.2879767442;-0.3123823709;8.1917886879;5.1175643215
0.2979069767;-0.4226851611;8.2304792044;4.8051624924
0.3078372093;-0.4994175369;8.3804049559;4.5648533931
0.3177674419;-0.5473752717;8.6077117403;4.3966370236
0.3276976744;-0.5809456861;8.7576374918;4.3341566578
0.3376279070;-0.5761499126;8.7382922335;4.2428392001
0.3475581395;-0.5857414596;8.7624738063;4.0602042846
0.3574883721;-0.6241076475;8.8882179850;4.0553981026
0.3674186047;-0.6049245535;8.8495274685;4.0698166486
0.3773488372;-0.5857414596;8.6657475151;3.9256311890
0.3872790698;-0.5233964043;8.6802564588;3.9016002791
0.3972093023;-0.4754386694;8.7189469753;3.9544682810
0.4071395349;-0.3699316528;8.6899290879;3.9929177368
0.4170697674;-0.2452415422;8.6996017170;4.0986537405
0.4270000000;-0.0869810171;8.7382922335;4.2476453821
0.4369302326;0.0904626018;8.7237832898;4.4302802975
0.4468604651;0.2918850882;8.7769827500;4.5936904850
0.4567906977;0.4837160276;8.8156732665;4.7667130365
0.4667209302;0.6515680996;8.7914916937;4.8339995843
0.4766511628;0.7810539837;8.7382922335;4.8628366762
0.4865813953;0.8481948125;8.6996017170;4.9781850439
0.4965116279;0.7858497572;8.6270569986;4.9685726799
0.5064418605;0.7091173814;8.5593485947;5.0022159538
0.5163720930;0.5700399503;8.5400033365;5.0262468637
0.5263023256;0.4165751988;8.4964765054;5.0502777737
0.5362325581;0.2487231268;8.4432770452;5.0118283178
0.5461627907;0.0760752814;8.4916401908;4.8868675861
