Time (s);Pressure (kPa)
0.0099796251;101.7727177164;18.2710280374
0.0199592502;101.8173320564;18.4579439252
0.0299388753;101.8173320564;18.4579439252
0.0399185004;101.9066606729;18.2710280374
0.0498981255;101.7727177164;18.2710280374
0.0598777506;101.8173320564;18.4579439252
0.0698573757;101.8173320564;18.4579439252
0.0798370008;101.5942150920;18.0841121495
0.0898166259;101.6833344280;18.4579439252
0.0997962510;101.6833344280;18.4579439252
0.1097758761;102.0853273132;18.4579439252
0.1197555012;101.8173320564;18.4579439252
0.1297351263;101.8173320564;18.4579439252
0.1397147514;101.6833344280;18.4579439252
0.1496943765;101.9959986967;18.6448598131
0.1596740016;101.8173320564;18.4579439252
0.1696536267;101.8173320564;18.4579439252
0.1796332518;101.9066606729;18.2710280374
0.1896128769;101.7727177164;18.2710280374
0.1995925020;101.7727177164;18.2710280374
0.2095721271;101.6387747600;18.2710280374
0.2195517522;102.0853273132;18.4579439252
0.2295313773;101.9513296848;18.4579439252
0.2395110024;101.7278940960;18.6448598131
0.2494906275;101.9065607363;18.8317757009
0.2594702526;101.6833344280;18.4579439252
0.2694498778;101.8173320564;18.4579439252
0.2794295029;101.7724537640;18.8317757009
0.2894091280;101.8619463963;18.6448598131
0.2993887531;101.7724537640;18.8317757009
0.3093683782;101.5942150920;18.0841121495
0.3193480033;101.8619463963;18.6448598131
0.3293276284;101.6387747600;18.2710280374
0.3393072535;101.9513296848;18.4579439252
0.3492868786;101.8173320564;18.4579439252
0.3592665037;101.7278940960;18.6448598131
0.3692461288;101.6833344280;18.4579439252
0.3792257539;101.6833344280;18.4579439252
0.3892053790;101.9066606729;18.2710280374
0.3991850041;102.0853273132;18.4579439252
0.4091646292;101.7727177164;18.2710280374
0.4191442543;102.1300509971;18.6448598131
0.4291238794;101.8173320564;18.4579439252
0.4391035045;101.8173320564;18.4579439252
0.4490831296;101.9513296848;18.4579439252
0.4590627547;101.7278940960;18.6448598131
0.4690423798;101.6387747600;18.2710280374
0.4790220049;101.8173320564;18.4579439252
0.4890016300;101.8619463963;18.6448598131
0.4989812551;101.6833344280;18.4579439252
0.5089608802;101.4158218114;17.8971962617
0.5189405053;101.6387747600;18.2710280374
0.5289201304;101.8173320564;18.4579439252
0.5388997555;101.6833344280;18.4579439252
0.5488793806;101.8619463963;18.6448598131
0.5588590057;101.6833344280;18.4579439252
0.5688386308;101.6833344280;18.4579439252
0.5788182559;101.9513296848;18.4579439252
0.5887978810;101.9513296848;18.4579439252
0.5987775061;101.8173320564;18.4579439252
0.6087571312;101.8173320564;18.4579439252
0.6187367563;101.5048318035;18.2710280374
0.6287163814;101.8173320564;18.4579439252
0.6386960065;101.7727177164;18.2710280374
0.6486756316;101.8173320564;18.4579439252
0.6586552567;101.6833344280;18.4579439252
0.6686348818;101.7727177164;18.2710280374
0.6786145069;101.8173320564;18.4579439252
0.6885941320;101.8173320564;18.4579439252
0.6985737571;101.7278940960;18.6448598131
0.7085533822;101.7724537640;18.8317757009
0.7185330073;101.9513296848;18.4579439252
0.7285126324;101.8173320564;18.4579439252
0.7384922575;101.8173320564;18.4579439252
0.7484718826;101.8173320564;18.4579439252
0.7584515077;101.7727177164;18.2710280374
0.7684311328;101.7727177164;18.2710280374
0.7784107579;101.6833344280;18.4579439252
0.7883903830;101.8619463963;18.6448598131
0.7983700081;101.6833344280;18.4579439252
0.8083496333;101.7727177164;18.2710280374
0.8183292584;101.9513296848;18.4579439252
0.8283088835;101.6833344280;18.4579439252
0.8382885086;101.6833344280;18.4579439252
0.8482681337;101.9959986967;18.6448598131
0.8582477588;101.6833344280;18.4579439252
0.8682273839;101.7727177164;18.2710280374
0.8782070090;101.6833344280;18.4579439252
0.8881866341;101.6387747600;18.2710280374
0.8981662592;101.5493367995;18.4579439252
0.9081458843;101.8173320564;18.4579439252
0.9181255094;101.6387747600;18.2710280374
0.9281051345;101.9513296848;18.4579439252
0.9380847596;101.6833344280;18.4579439252
0.9480643847;101.7278940960;18.6448598131
0.9580440098;101.6387747600;18.2710280374
0.9680236349;101.8619463963;18.6448598131
0.9780032600;101.5938417956;18.6448598131
0.9879828851;101.7727177164;18.2710280374
0.9979625102;101.5493367995;18.4579439252
1.0079421353;101.7278940960;18.6448598131
1.0179217604;102.1747746810;18.8317757009
1.0279013855;101.8619463963;18.6448598131
1.0378810106;101.9066606729;18.2710280374
1.0478606357;101.7727177164;18.2710280374
1.0578402608;101.8173320564;18.4579439252
1.0678198859;102.0853273132;18.4579439252
1.0777995110;101.5048318035;18.2710280374
1.0877791361;101.7278940960;18.6448598131
1.0977587612;101.8173320564;18.4579439252
1.1077383863;101.8619463963;18.6448598131
1.1177180114;101.7727177164;18.2710280374
1.1276976365;101.7727177164;18.2710280374
1.1376772616;101.6833344280;18.4579439252
1.1476568867;101.8619463963;18.6448598131
1.1576365118;101.8173320564;18.4579439252
1.1676161369;101.6833344280;18.4579439252
1.1775957620;101.8173320564;18.4579439252
1.1875753871;101.8173320564;18.4579439252
1.1975550122;101.9513296848;18.4579439252
1.2075346373;101.8173320564;18.4579439252
1.2175142624;101.9513296848;18.4579439252
1.2274938875;101.8619463963;18.6448598131
1.2374735126;101.7727177164;18.2710280374
1.2474531377;101.6833344280;18.4579439252
1.2574327628;101.9513296848;18.4579439252
1.2674123879;101.9513296848;18.4579439252
1.2773920130;101.6387747600;18.2710280374
1.2873716381;101.8619463963;18.6448598131
1.2973512632;101.8619463963;18.6448598131
1.3073308883;101.8173320564;18.4579439252
1.3173105134;101.5942150920;18.0841121495
1.3272901385;101.9065607363;18.8317757009
1.3372697637;101.8173320564;18.4579439252
1.3472493888;101.9513296848;18.4579439252
1.3572290139;101.6833344280;18.4579439252
1.3672086390;101.6833344280;18.4579439252
1.3771882641;101.5493367995;18.4579439252
1.3871678892;101.9513296848;18.4579439252
1.3971475143;101.7727177164;18.2710280374
1.4071271394;101.9066606729;18.2710280374
