Time (s);ωx (rad/s);ωy (rad/s);ωz (rad/s)
0.0103024803;0.1397478693;0.0321485446;-0.2246051429
0.0206049607;0.1311589123;0.0358295262;-0.2196971675
0.0309074410;0.1397478693;0.0321485446;-0.2246051429
0.0412099214;0.1471098325;0.0309215507;-0.2233781491
0.0515124017;0.1569257834;0.0333755384;-0.2233781491
0.0618148820;0.1691957221;0.0346025323;-0.2184701736
0.0721173624;0.1753306914;0.0407375016;-0.2012922595
0.0824198427;0.1569257834;0.0358295262;-0.1436235478
0.0927223230;0.1127540043;0.0358295262;-0.0503720141
0.1030248034;0.0722632068;0.0382835139;0.0342905626
0.1133272837;0.0023245565;0.0333755384;0.1103641822
0.1236297641;-0.0209883270;0.0260135753;0.1373580473
0.1339322444;0.0035515503;0.0223325937;0.1164991515
0.1442347247;0.0280914276;0.0149706305;0.0882782927
0.1545372051;0.0403613663;0.0063816734;0.0576034460
0.1648396854;0.0415883601;0.0027006918;0.0306095810
0.1751421658;0.0403613663;0.0027006918;0.0220206239
0.1854446461;0.0231834522;-0.0034342775;0.0134316669
0.1957471264;0.0010975626;-0.0071152591;-0.0000652656
0.2060496068;-0.0123993699;-0.0107962407;-0.0184701736
0.2163520871;-0.0246693086;-0.0132502284;-0.0466910325
0.2266545675;-0.0308042779;-0.0157042162;-0.0810468607
0.2369570478;-0.0369392472;-0.0132502284;-0.1129487012
0.2472595281;-0.0332582656;-0.0034342775;-0.1362615846
0.2575620085;-0.0209883270;0.0076086673;-0.1362615846
0.2678644888;-0.0283502902;0.0174246182;-0.1190836705
0.2781669691;-0.0332582656;0.0284675630;-0.0761388853
0.2884694495;-0.0430742166;0.0407375016;-0.0282861245
0.2987719298;-0.0357122534;0.0480994648;0.0097506853
0.3090744102;-0.0271232963;0.0530074403;0.0306095810
0.3193768905;-0.0222153209;0.0456454771;0.0379715442
0.3296793708;0.0060055380;0.0382835139;0.0330635687
0.3399818512;0.0207294644;0.0223325937;0.0293825871
0.3502843315;0.0293184215;0.0014736980;0.0257016055
0.3605868119;0.0231834522;-0.0193851978;0.0281555933
0.3708892922;0.0145944951;-0.0316551364;0.0404255319
0.3811917725;0.0035515503;-0.0451520689;0.0514684767
0.3914942529;-0.0111723761;-0.0525140321;0.0576034460
0.4017967332;-0.0136263638;-0.0586490014;0.0539224644
0.4120992136;-0.0271232963;-0.0672379585;0.0367445503
0.4224016939;-0.0369392472;-0.0709189401;0.0097506853
0.4327041742;-0.0443012104;-0.0647839708;-0.0184701736
0.4430066546;-0.0418472227;-0.0561950137;-0.0393290693
0.4533091349;-0.0369392472;-0.0463790628;-0.0491450202
0.4636116152;-0.0320312718;-0.0328821303;-0.0466910325
0.4739140956;-0.0160803515;-0.0144772223;-0.0381020754
0.4842165759;0.0035515503;0.0014736980;-0.0270591307
0.4945190563;0.0231834522;0.0198786059;-0.0233781491
