Time (s);Bx (µT);By (µT);Bz (µT)
0.0123049133;-46.1502985676;-1923.4264273171;-35.5957712064
0.0246098266;-45.7962173261;-1923.5807531707;-34.4777460998
0.0369147399;-46.1502985676;-1923.4264273171;-35.5957712064
0.0492196532;-47.2125422922;-1924.1980565854;-34.4777460998
0.0615245665;-47.0355016715;-1923.8894048781;-36.2945368980
0.0738294798;-47.2125422922;-1923.8894048781;-32.2416958867
0.0861343931;-47.5666235338;-1921.4201912195;-35.5957712064
0.0984393064;-47.0355016715;-1921.5745170732;-33.7789804082
0.1107442197;-46.5043798091;-1923.8894048781;-36.5740431746
0.1230491329;-46.5043798091;-1922.3461463415;-35.0367586531
0.1353540462;-47.2125422922;-1922.3461463415;-33.2199678549
0.1476589595;-47.0355016715;-1923.4264273171;-35.7355243447
0.1599638728;-47.0355016715;-1924.3523824390;-34.8970055148
0.1722687861;-47.5666235338;-1922.5004721951;-33.7789804082
0.1845736994;-46.6814204299;-1923.7350790244;-33.0802147166
0.1968786127;-46.5043798091;-1921.5745170732;-33.3597209932
0.2091835260;-45.9732579468;-1925.1240117073;-35.3162649297
0.2214884393;-45.9732579468;-1922.8091239024;-35.1765117914
0.2337933526;-46.5043798091;-1923.8894048781;-35.1765117914
0.2460982659;-46.8584610507;-1923.5807531707;-32.3814490250
0.2584031792;-45.6191767053;-1923.2721014634;-35.1765117914
0.2707080925;-45.2650954637;-1924.1980565854;-35.4560180681
0.2830130058;-45.2650954637;-1923.4264273171;-34.6174992381
0.2953179191;-45.9732579468;-1924.3523824390;-35.1765117914
0.3076228324;-45.7962173261;-1922.5004721951;-33.0802147166
0.3199277457;-46.1502985676;-1923.7350790244;-34.6174992381
0.3322326590;-46.6814204299;-1923.7350790244;-36.5740431746
0.3445375723;-46.5043798091;-1924.0437307317;-34.7572523765
0.3568424855;-46.3273391884;-1922.5004721951;-34.3379929615
0.3691473988;-46.3273391884;-1923.7350790244;-33.4994741316
0.3814523121;-46.1502985676;-1923.2721014634;-34.7572523765
0.3937572254;-46.5043798091;-1923.4264273171;-32.6609553016
0.4060621387;-46.5043798091;-1922.9634497561;-33.0802147166
0.4183670520;-46.8584610507;-1923.8894048781;-35.3162649297
0.4306719653;-45.9732579468;-1924.3523824390;-32.1019427484
0.4429768786;-45.4421360845;-1924.1980565854;-34.3379929615
0.4552817919;-46.8584610507;-1922.1918204878;-33.7789804082
0.4675867052;-46.8584610507;-1923.7350790244;-35.4560180681
0.4798916185;-46.5043798091;-1924.0437307317;-31.6826833334
0.4921965318;-46.6814204299;-1922.1918204878;-33.9187335465
0.5045014451;-46.6814204299;-1922.0374946341;-36.9933025896
0.5168063584;-47.2125422922;-1922.0374946341;-34.4777460998
0.5291112717;-47.0355016715;-1922.6547980488;-34.1982398232
0.5414161850;-47.2125422922;-1922.5004721951;-36.4342900363
0.5537210983;-47.2125422922;-1923.2721014634;-35.3162649297
0.5660260116;-46.3273391884;-1923.1177756098;-35.7355243447
0.5783309249;-46.6814204299;-1923.7350790244;-34.6174992381
0.5906358382;-45.7962173261;-1922.9634497561;-34.0584866849
0.6029407514;-46.3273391884;-1923.4264273171;-34.3379929615
0.6152456647;-46.5043798091;-1922.6547980488;-34.6174992381
0.6275505780;-46.3273391884;-1923.1177756098;-32.6609553016
0.6398554913;-47.3895829130;-1922.8091239024;-35.4560180681
0.6521604046;-47.9207047753;-1922.6547980488;-32.1019427484
0.6644653179;-46.8584610507;-1922.1918204878;-34.7572523765
0.6767702312;-47.0355016715;-1923.2721014634;-34.7572523765
0.6890751445;-46.5043798091;-1922.8091239024;-33.2199678549
0.7013800578;-46.3273391884;-1922.8091239024;-32.5212021633
0.7136849711;-46.6814204299;-1922.1918204878;-32.5212021633
0.7259898844;-46.8584610507;-1923.7350790244;-36.0150306213
0.7382947977;-46.3273391884;-1922.8091239024;-32.9404615783
0.7505997110;-45.4421360845;-1921.4201912195;-33.9187335465
0.7629046243;-46.1502985676;-1922.3461463415;-35.7355243447
0.7752095376;-45.9732579468;-1923.1177756098;-35.7355243447
0.7875144509;-46.1502985676;-1921.7288429268;-34.7572523765
0.7998193642;-45.7962173261;-1923.5807531707;-34.6174992381
0.8121242775;-45.7962173261;-1921.8831687805;-33.0802147166
0.8244291908;-46.1502985676;-1923.8894048781;-34.1982398232
0.8367341040;-45.9732579468;-1923.1177756098;-34.8970055148
0.8490390173;-46.1502985676;-1921.7288429268;-34.4777460998
0.8613439306;-45.6191767053;-1923.1177756098;-36.5740431746
0.8736488439;-46.1502985676;-1923.5807531707;-36.1547837597
0.8859537572;-46.6814204299;-1924.1980565854;-35.0367586531
0.8982586705;-46.1502985676;-1923.4264273171;-34.8970055148
0.9105635838;-46.6814204299;-1923.4264273171;-34.8970055148
0.9228684971;-46.3273391884;-1923.1177756098;-35.1765117914
0.9351734104;-46.3273391884;-1923.4264273171;-31.8224364717
0.9474783237;-46.3273391884;-1922.9634497561;-36.0150306213
0.9597832370;-46.1502985676;-1923.1177756098;-34.6174992381
0.9720881503;-46.5043798091;-1923.4264273171;-35.8752774830
0.9843930636;-47.3895829130;-1923.7350790244;-34.4777460998
0.9966979769;-46.6814204299;-1923.5807531707;-35.0367586531
1.0090028902;-46.5043798091;-1923.5807531707;-33.4994741316
1.0213078035;-46.8584610507;-1924.0437307317;-35.7355243447
1.0336127168;-46.5043798091;-1923.1177756098;-35.3162649297
1.0459176301;-47.2125422922;-1922.9634497561;-35.4560180681
1.0582225434;-47.0355016715;-1923.1177756098;-35.4560180681
1.0705274566;-46.8584610507;-1922.1918204878;-33.4994741316
1.0828323699;-46.6814204299;-1923.7350790244;-36.1547837597
1.0951372832;-45.7962173261;-1922.5004721951;-34.0584866849
1.1074421965;-45.7962173261;-1922.8091239024;-36.4342900363
1.1197471098;-45.6191767053;-1924.8153600000;-34.6174992381
1.1320520231;-46.6814204299;-1924.1980565854;-32.5212021633
1.1443569364;-46.3273391884;-1924.0437307317;-36.8535494513
1.1566618497;-45.4421360845;-1923.4264273171;-35.8752774830
1.1689667630;-45.2650954637;-1924.1980565854;-37.6920682812
1.1812716763;-45.7962173261;-1924.3523824390;-35.3162649297
1.1935765896;-45.4421360845;-1923.1177756098;-35.5957712064
